city,Population,Household Income,Median Age,Number of Breweries in City,Market Segment Counts
Eagan,15603.0,66602.66666666667,34.86666666666667,3,Entry
Kirkland,34412.666666666664,94729.33333333333,37.666666666666664,3,Entry
Oconomowoc,34097.0,79940.0,41.8,3,Entry
Penn Yan,12990.0,47697.0,41.4,3,Entry
Wheeling,41530.666666666664,46987.333333333336,41.43333333333334,3,Entry
Ramona,37299.0,76273.0,39.4,3,Entry
Naperville,40872.666666666664,93951.0,38.13333333333333,3,Entry
Valparaiso,39564.333333333336,59740.333333333336,36.63333333333333,3,Entry
Nampa,29161.666666666668,38698.333333333336,31.333333333333332,3,Entry
Brookings,21259.333333333332,42785.0,33.86666666666667,3,Entry
Carrboro,15008.0,40658.0,30.2,3,Entry
Morgantown,25758.666666666668,37172.666666666664,32.6,3,Entry
Huntingdon Valley,21048.0,90234.0,46.6,3,Entry
Vicksburg,17975.666666666668,51531.0,39.9,3,Entry
Claremont,36011.0,88240.0,39.4,3,Entry
Chapel Hill,35932.666666666664,65010.333333333336,28.900000000000002,3,Entry
Clarion,7553.0,34971.333333333336,30.0,3,Entry
Wasilla,53456.0,72743.0,33.0,3,Entry
Washougal,22496.0,68358.0,38.2,3,Entry
Ipswich,13354.0,77087.0,48.1,3,Entry
Chantilly,23359.666666666668,129452.66666666667,34.03333333333334,3,Entry
Patchogue,45265.0,68230.0,38.1,3,Entry
Post Falls,38032.0,50283.0,34.7,3,Entry
Warwick,25885.0,69158.0,45.23333333333333,3,Entry
Weaverville,19133.0,50230.0,42.9,3,Entry
Saint Cloud,30480.333333333332,47920.666666666664,28.46666666666667,3,Entry
Saint Clair Shores,22145.0,52498.0,44.0,3,Entry
Tuscaloosa,36782.0,23372.0,23.100000000000005,3,Entry
Blue Ridge,11216.0,29751.0,48.9,3,Entry
Paw Paw,13332.0,51765.0,39.9,3,Entry
Hector,973.0,58538.0,49.1,3,Entry
Livingston,12035.0,42910.0,45.0,3,Entry
Long Lake,5966.0,99485.0,44.4,3,Entry
Truckee,18113.0,67750.0,38.2,3,Entry
Vero Beach,18362.666666666668,51267.0,53.166666666666664,3,Entry
Los Gatos,10803.0,128100.66666666667,47.73333333333333,3,Entry
Vashon,11122.0,72774.0,51.1,3,Entry
Houghton,9904.0,30829.0,22.399999999999995,3,Entry
High Point,24264.666666666668,33754.0,36.06666666666667,3,Entry
Longview,37883.333333333336,42714.666666666664,39.96666666666667,3,Entry
Tumwater,36505.666666666664,66383.33333333333,39.666666666666664,3,Entry
Monrovia,41985.0,71733.0,37.7,3,Entry
Ouray,852.0,64000.0,50.79999999999999,3,Entry
Park City,14186.0,100914.66666666667,39.6,3,Entry
Hawthorne,93994.0,45995.0,31.5,3,Entry
Hyde Park,10109.333333333334,63240.333333333336,42.96666666666667,3,Entry
Parker,57110.0,100739.0,34.9,3,Entry
Cheyenne,36161.0,48750.0,33.4,3,Entry
Waunakee,17050.0,87630.0,41.0,3,Entry
Muskegon,1008.0,21397.0,41.9,3,Entry
Hayden,14156.333333333334,56068.666666666664,42.43333333333334,3,Entry
Portage,22539.0,50319.666666666664,36.93333333333333,3,Entry
Myrtle Beach,27503.0,35352.0,36.0,3,Entry
Bryan,25374.0,37569.333333333336,32.96666666666667,3,Entry
Brattleboro,16819.0,49552.0,44.1,3,Entry
Oxnard,48692.333333333336,63693.333333333336,32.93333333333333,3,Entry
Imperial,15412.333333333334,63651.666666666664,36.166666666666664,3,Entry
West Des Moines,27162.0,73186.66666666667,33.3,3,Entry
Saint Joseph,15162.333333333334,51309.333333333336,33.56666666666666,3,Entry
Hilton Head Island,21853.333333333332,70775.66666666667,53.4,3,Entry
West Palm Beach,23672.0,42661.666666666664,40.0,3,Entry
Bridgeport,19573.666666666668,41492.0,32.5,3,Entry
Waco,22744.0,37325.666666666664,30.3,3,Entry
Cape Coral,27781.333333333332,45597.333333333336,45.93333333333334,3,Entry
Waynesville,17194.0,51878.333333333336,45.93333333333334,3,Entry
Blaine,21801.666666666668,82627.66666666667,37.1,3,Entry
Blacksburg,53541.0,39477.0,22.600000000000005,3,Entry
Waynesboro,31706.0,47970.0,41.9,3,Entry
Cannon Beach,1305.0,41625.0,43.20000000000001,3,Entry
Tinley Park,30578.0,84970.0,38.13333333333333,3,Entry
Half Moon Bay,18199.0,100394.0,44.4,3,Entry
Moses Lake,40819.0,49062.0,33.6,3,Entry
Tillamook,13675.0,44878.0,43.5,3,Entry
Sandy Springs,28106.666666666668,61290.333333333336,32.53333333333333,3,Entry
Rockwall,29741.666666666668,88498.66666666667,36.50000000000001,3,Entry
Pearland,52795.666666666664,87173.66666666667,35.36666666666667,3,Entry
Hailey,11062.0,76481.0,39.9,3,Entry
Conroe,23727.0,46156.666666666664,33.9,3,Entry
Bridgman,4407.0,50709.0,45.1,3,Entry
Hackettstown,29527.0,74980.0,39.4,3,Entry
Hollywood,34271.333333333336,51609.0,44.199999999999996,3,Entry
Humboldt,3129.6666666666665,52739.0,45.133333333333326,3,Entry
Wallingford,45145.0,75289.0,43.0,3,Entry
Camarillo,37950.666666666664,91405.0,40.300000000000004,3,Entry
Lorton,32986.0,99025.0,34.8,3,Entry
Pawtucket,43862.0,32614.0,34.9,3,Entry
Issaquah,27290.666666666668,100420.66666666667,39.800000000000004,3,Entry
Broken Bow,9044.333333333334,36181.666666666664,40.06666666666666,3,Entry
Rocky Mount,29397.0,44282.0,41.0,3,Entry
Burnsville,25761.666666666668,54761.0,39.9,3,Entry
San Pedro,61432.0,50210.0,35.6,3,Entry
Port Townsend,14588.0,43235.0,55.4,3,Entry
Brevard,18048.0,40732.0,49.4,3,Entry
Brewer,9428.0,48979.0,40.8,3,Entry
Butte,33286.0,37847.0,41.3,3,Entry
Chambersburg,25341.0,42823.0,37.3,3,Entry
Upland,51381.0,51805.0,33.2,3,Entry
Roswell,50741.666666666664,90906.0,40.300000000000004,3,Entry
Hammonton,23669.0,63658.0,43.6,3,Entry
Topeka,15571.666666666666,42536.0,39.43333333333333,3,Entry
Lombard,52390.0,70448.0,40.6,3,Entry
Branford,27825.0,70960.0,47.4,3,Entry
Hammond,21347.333333333332,37344.666666666664,32.86666666666667,3,Entry
Mooresville,35353.333333333336,69736.33333333333,38.6,3,Entry
West Sacramento,35485.0,63559.0,33.9,3,Entry
Fruita,14700.0,53537.0,38.6,2,Entry
Queensbury,26308.0,60152.0,44.6,2,Entry
Hermitage,27383.5,51850.0,41.3,2,Entry
Hesperia,50399.5,53880.0,31.65,2,Entry
Lahaina,20826.0,64603.0,39.9,2,Entry
Fullerton,30117.0,60485.0,30.75,2,Entry
Mandan,23277.0,62693.0,38.2,2,Entry
Herndon,41673.0,104371.0,35.3,2,Entry
Frankfort,3799.0,47444.0,52.4,2,Entry
La Vista,18449.0,60628.0,31.7,2,Entry
Saint John,14089.0,95733.0,42.0,2,Entry
Northampton,13016.5,59181.5,39.0,2,Entry
La Mesa,38828.0,51694.0,37.2,2,Entry
Pocatello,37877.0,41420.0,30.4,2,Entry
Potosi,2698.0,54449.0,41.9,2,Entry
Hermosa Beach,19605.0,101655.0,37.5,2,Entry
Sheboygan,31692.5,51595.5,39.8,2,Entry
Hicksville,22625.5,66443.0,38.8,2,Entry
Manheim,21542.0,59720.0,42.5,2,Entry
Red Bank,23728.5,58304.0,38.349999999999994,2,Entry
Mandeville,23165.0,79985.0,40.55,2,Entry
Friday Harbor,7929.0,59414.0,50.8,2,Entry
Livingston Manor,4303.0,50560.0,42.7,2,Entry
Lake City,8628.5,45501.5,47.5,2,Entry
Fort Walton Beach,19868.0,47506.0,39.6,2,Entry
Larkspur,6123.5,102802.5,47.45,2,Entry
Florissant,27468.0,54377.5,44.7,2,Entry
Silverthorne,7131.0,70469.0,39.9,2,Entry
Honesdale,13089.0,43906.0,44.6,2,Entry
Flint,28189.0,29328.0,36.849999999999994,2,Entry
Lolo,5366.0,61328.0,38.1,2,Entry
Flemington,30430.0,101922.0,43.7,2,Entry
Lakeside,5495.0,50348.0,48.099999999999994,2,Entry
Lakeville,48198.0,99243.0,36.3,2,Entry
Homestead,26226.0,35723.5,37.05,2,Entry
Fitchburg,42167.5,57611.0,36.400000000000006,2,Entry
Largo,26605.0,38331.0,47.95,2,Entry
Land O Lakes,24985.0,64302.0,39.4,2,Entry
Sioux City,5089.5,21879.5,38.1,2,Entry
Hingham,22330.0,106854.0,43.8,2,Entry
Homer,9628.0,53797.0,41.8,2,Entry
Lander,8556.0,57027.0,43.2,2,Entry
Lone Tree,18550.0,98687.0,36.4,2,Entry
Saco,18647.0,55524.0,42.3,2,Entry
Saginaw,20892.5,43199.5,40.9,2,Entry
Sisters,6675.0,54913.0,46.3,2,Entry
Marble Falls,16916.0,46086.0,44.1,2,Entry
Holly Springs,30415.0,86066.0,34.3,2,Entry
Saint Clair,12232.0,58768.0,42.9,2,Entry
Lake Worth,41468.0,50196.5,41.15,2,Entry
Lake Stevens,31339.0,77590.0,36.1,2,Entry
Manson,3522.0,44357.0,40.2,2,Entry
Sherman,23833.0,38216.0,32.3,2,Entry
Fort Pierce,10498.0,22183.5,40.55,2,Entry
Lake Elsinore,50141.0,49942.0,30.1,2,Entry
Sherman Oaks,27569.0,71983.5,39.75,2,Entry
Manitowoc,39854.0,45277.0,43.9,2,Entry
Fergus Falls,18597.0,48919.0,43.7,2,Entry
Hot Springs National Park,29728.0,31323.0,39.5,2,Entry
Sherwood,23697.0,82377.0,36.8,2,Entry
Manlius,16201.0,92194.0,42.0,2,Entry
Racine,27770.0,36979.0,35.6,2,Entry
Hull,5337.0,102063.5,57.75,2,Entry
Pottsville,23985.0,41063.0,43.7,2,Entry
Hill City,2188.0,54432.0,48.4,2,Entry
Latrobe,28469.0,42308.0,44.8,2,Entry
Shreveport,8593.0,21552.5,36.25,2,Entry
Maple Grove,33164.0,78965.0,40.3,2,Entry
Livonia,29083.5,65630.5,43.3,2,Entry
Ruston,26103.0,50689.5,34.0,2,Entry
Lake Oswego,21443.5,85803.0,44.8,2,Entry
Folsom,40194.5,73176.5,41.7,2,Entry
Powell,25960.0,83816.0,35.7,2,Entry
Hillsborough,31298.5,85275.0,40.2,2,Entry
Hudsonville,34183.0,70507.0,34.5,2,Entry
Grover Beach,13269.0,47271.0,38.1,2,Entry
Mammoth Lakes,9681.0,70607.0,35.1,2,Entry
Prosser,13636.0,55508.0,33.7,2,Entry
San Ramon,36932.5,128509.0,37.8,2,Entry
Irvine,21874.0,92925.5,35.349999999999994,2,Entry
Rocky Point,12605.0,85893.0,37.5,2,Entry
Granville,12710.0,93932.0,36.6,2,Entry
Liberty Hill,9341.0,75375.0,39.0,2,Entry
Grants,11528.0,39868.0,38.0,2,Entry
Saugatuck,2704.0,60795.0,46.6,2,Entry
Iowa City,33544.0,41405.0,26.8,2,Entry
Grandville,27524.0,58814.0,36.1,2,Entry
Lincoln City,9358.0,36735.0,47.1,2,Entry
Keene,25563.0,51744.0,35.8,2,Entry
River Falls,21786.0,60016.0,28.8,2,Entry
Irwin,45544.0,66267.0,43.6,2,Entry
Grand Ledge,18829.0,65663.0,42.9,2,Entry
Inglewood,33650.0,40601.0,32.45,2,Entry
Indiana,34509.0,40411.0,29.5,2,Entry
Lincolnton,38278.0,41607.0,41.1,2,Entry
Rio Grande,3003.0,50000.0,44.5,2,Entry
Rome,38713.0,44555.5,40.9,2,Entry
Grand Forks,26820.5,41734.0,29.5,2,Entry
Harrison,16836.0,46082.0,45.35,2,Entry
Granby,5943.0,75592.5,44.2,2,Entry
Graham,25931.5,54988.5,39.8,2,Entry
Grafton,9363.0,57473.5,43.85,2,Entry
Irving,44829.0,54599.0,31.75,2,Entry
Kailua Kona,35818.0,61875.0,41.8,2,Entry
San Dimas,33441.0,78509.0,42.0,2,Entry
Joliet,21448.0,37624.0,29.4,2,Entry
Rockland,7273.0,37549.0,46.9,2,Entry
Grove City,37466.0,55042.5,36.4,2,Entry
Janesville,20209.0,45694.5,39.099999999999994,2,Entry
Groton,19075.5,53276.5,35.75,2,Entry
Santa Clara,37057.0,67630.0,34.2,2,Entry
Hackensack,43466.0,54091.0,39.5,2,Entry
Jersey City,37472.0,98952.0,33.6,2,Entry
Johns Creek,53793.5,98604.5,37.75,2,Entry
Johns Island,21631.0,60954.0,40.1,2,Entry
Rock Springs,28785.0,69276.0,32.1,2,Entry
Sandy,23099.5,80631.5,38.599999999999994,2,Entry
Sandusky,23383.0,38852.5,42.6,2,Entry
Great Falls,20568.0,47554.0,38.650000000000006,2,Entry
Greer,39316.5,59657.5,38.9,2,Entry
Port Saint Lucie,31356.0,48173.0,51.95,2,Entry
Greenwood Village,29855.5,87216.0,38.0,2,Entry
Hamden,20965.5,67752.0,39.3,2,Entry
Islamorada,3849.0,49375.0,54.9,2,Entry
Ishpeming,12604.0,43838.0,42.4,2,Entry
Julian,20053.0,71071.0,45.05,2,Entry
Rock Hill,52496.0,37152.0,34.4,2,Entry
Jupiter,32247.5,66911.5,47.400000000000006,2,Entry
Kailua,53068.0,89016.0,34.7,2,Entry
Hollister,50067.0,67481.0,33.8,2,Entry
Sawyer,1923.0,42228.0,56.3,2,Entry
Lynnwood,36597.0,64738.0,37.4,2,Entry
Kutztown,15941.0,57153.0,24.4,2,Entry
Kingman,26231.0,45971.0,43.9,2,Entry
Ketchum,4231.0,60840.0,51.1,2,Entry
Hays,24080.0,41994.0,30.4,2,Entry
Hayward,36299.5,48940.5,40.150000000000006,2,Entry
Lititz,42594.0,67111.0,41.3,2,Entry
Huntington,33731.0,76419.5,40.95,2,Entry
Geneseo,11374.0,69280.0,43.0,2,Entry
Saline,20923.0,85060.0,42.1,2,Entry
Salinas,26642.0,48514.0,35.0,2,Entry
Jeffersonville,23848.0,54689.5,37.35,2,Entry
Richardson,39951.0,61955.0,35.55,2,Entry
Seguin,46816.0,49399.0,38.7,2,Entry
Lena,4136.0,47955.0,46.1,2,Entry
Sebastian,25752.0,42633.0,51.5,2,Entry
Garland,45238.0,47400.0,31.65,2,Entry
Lemoore,36708.0,51850.0,27.2,2,Entry
Huntersville,52776.0,83519.0,35.4,2,Entry
Sainte Genevieve,11034.0,47304.0,43.0,2,Entry
Kittery,8285.0,63378.0,45.1,2,Entry
Klamath Falls,25995.0,39679.0,39.45,2,Entry
Malvern,24743.0,109706.0,41.5,2,Entry
Seward,6730.5,60834.5,37.95,2,Entry
Kokomo,37204.0,41034.5,40.85,2,Entry
Quakertown,34354.0,66162.0,41.0,2,Entry
Mamaroneck,20157.0,87316.0,40.9,2,Entry
Ketchikan,13651.0,62519.0,38.7,2,Entry
Gettysburg,28479.0,59529.0,41.5,2,Entry
Goshen,33137.0,47863.0,33.4,2,Entry
Idaho Falls,25335.0,46414.0,35.3,2,Entry
Lyons,7986.5,65919.5,41.349999999999994,2,Entry
Schaumburg,12143.0,66556.0,30.9,2,Entry
Independence,21699.5,48529.0,35.6,2,Entry
Schroon Lake,1423.0,53616.0,51.1,2,Entry
Kenosha,30400.0,38412.0,34.5,2,Entry
Port Angeles,22052.0,43827.0,47.5,2,Entry
Roscoe,10899.5,64857.0,44.599999999999994,2,Entry
Scituate,17730.0,100833.0,45.4,2,Entry
Idaho Springs,2566.0,51020.0,44.8,2,Entry
San Carlos,29531.0,117679.0,42.0,2,Entry
Lewistown,15131.0,37620.0,46.2,2,Entry
Princeton,2640.5,66025.5,36.15,2,Entry
Roseville,40872.0,60813.0,37.05,2,Entry
San Angelo,32388.0,33533.0,34.3,2,Entry
Hattiesburg,44309.0,27342.0,28.9,2,Entry
Hyattsville,11665.0,66210.0,32.3,2,Entry
Ridgewood,99379.0,50799.0,35.0,2,Entry
Hyannis,13552.0,39454.0,42.3,2,Entry
Glassboro,20121.0,63353.0,27.9,2,Entry
Seaside,9996.0,43750.0,45.2,2,Entry
Havre,12529.0,43368.0,35.9,2,Entry
Prince Frederick,11877.0,80087.0,40.1,2,Entry
Kernville,1653.0,58480.0,56.4,2,Entry
Kerrville,39160.0,43343.0,47.4,2,Entry
Salida,8953.0,42485.0,47.4,2,Entry
Destin,16158.0,62577.0,40.0,2,Entry
Skagway,1080.0,71667.0,44.3,2,Entry
Panama City Beach,9164.0,51328.0,37.7,2,Entry
Cazenovia,8422.0,65556.0,42.9,2,Entry
Cedar,3006.0,52743.0,47.9,2,Entry
Palmdale,50306.0,80663.0,37.9,2,Entry
Vallejo,32813.5,48943.5,37.099999999999994,2,Entry
Palmer,26202.0,77242.0,35.1,2,Entry
Cedarburg,18868.0,80521.0,44.4,2,Entry
Barberton,41346.0,44205.0,41.0,2,Entry
Williston,9513.0,70877.0,44.9,2,Entry
Fenton,36202.0,62807.0,41.5,2,Entry
Centerville,28796.5,68117.0,45.8,2,Entry
Charles Town,17147.0,72833.0,40.1,2,Entry
Utica,33615.0,38290.0,36.8,2,Entry
Centralia,23889.0,38594.0,35.6,2,Entry
Centreville,19364.5,92825.0,36.95,2,Entry
Willoughby,35334.0,56278.0,44.1,2,Entry
Chagrin Falls,17014.5,92848.5,46.55,2,Entry
Monterey,33685.0,67513.0,37.8,2,Entry
Chamblee,30139.0,52423.0,33.3,2,Entry
Champaign,35792.0,22470.0,21.9,2,Entry
Ukiah,33538.0,47698.0,36.0,2,Entry
Barre,11327.0,58860.5,42.400000000000006,2,Entry
Van Nuys,38614.0,46900.5,34.6,2,Entry
Morehead City,14180.0,43093.0,47.9,2,Entry
Williamston,11299.0,76400.0,41.9,2,Entry
Canal Winchester,33926.0,60809.0,34.7,2,Entry
Wake Forest,53860.0,81287.0,37.8,2,Entry
Wadsworth,30231.0,60860.0,40.3,2,Entry
Waconia,12773.0,78405.0,37.0,2,Entry
New Lenox,34516.0,91980.0,36.9,2,Entry
Paducah,28249.0,48113.0,42.4,2,Entry
Cape May,18543.0,56421.0,47.3,2,Entry
Cape May Court House,17570.0,66610.0,46.3,2,Entry
Pagosa Springs,11531.0,49176.0,47.6,2,Entry
Villa Park,28933.0,69144.0,36.7,2,Entry
Beacon,19917.0,62792.0,39.8,2,Entry
Bay City,40208.0,45237.0,43.6,2,Entry
Carroll,8198.0,59754.0,42.55,2,Entry
Verona,20431.0,90738.0,39.1,2,Entry
Carson,2810.0,41278.0,45.4,2,Entry
Carson City,23090.0,46853.5,40.25,2,Entry
Wildwood,15796.5,43077.5,47.0,2,Entry
Vernal,27369.0,62500.0,29.6,2,Entry
Morganton,55330.0,37295.0,40.2,2,Entry
Baldwinsville,31466.0,67225.0,43.5,2,Entry
Charlevoix,9186.0,46145.0,46.7,2,Entry
Thousand Oaks,39430.0,98878.5,42.3,2,Entry
Milwaukie,33502.5,54212.0,40.05,2,Entry
Clear Lake,6128.5,52323.5,44.05,2,Entry
Trenton,8852.0,45780.5,38.400000000000006,2,Entry
Clermont,54609.0,60312.0,41.2,2,Entry
Cleveland Heights,36509.5,53865.0,36.05,2,Entry
Newburyport,17569.0,78638.0,46.3,2,Entry
Clinton Township,34439.0,43809.0,38.9,2,Entry
Clive,16010.0,90993.0,37.5,2,Entry
Cloverdale,10628.0,57379.0,42.9,2,Entry
Atlantic Beach,23240.0,50338.0,36.8,2,Entry
Cody,14826.0,52815.0,46.6,2,Entry
Charlton,13034.0,93963.0,42.2,2,Entry
Cold Spring,6586.0,73098.0,41.3,2,Entry
Toms River,44814.0,72155.5,43.0,2,Entry
Collegeville,39344.0,108814.0,37.0,2,Entry
Tomball,30791.0,87474.0,33.1,2,Entry
Berthoud,10398.0,79889.0,46.5,2,Entry
Pearl River,14794.0,94271.0,41.2,2,Entry
Commerce Township,22464.5,75738.0,41.349999999999994,2,Entry
Atascadero,31349.0,65657.0,43.0,2,Entry
Three Rivers,10283.5,43012.5,46.8,2,Entry
Cle Elum,5668.0,46509.0,48.7,2,Entry
Auburndale,28428.0,39311.0,39.9,2,Entry
Clayton,21549.0,55329.0,36.349999999999994,2,Entry
Clarkston,21402.5,52064.0,41.85,2,Entry
Tyler,26684.0,32457.0,30.3,2,Entry
Baker City,12215.0,42854.0,47.0,2,Entry
Chatham,11714.0,99528.5,42.55,2,Entry
Chatsworth,38117.0,78414.0,42.3,2,Entry
Turlock,41109.0,40564.0,32.1,2,Entry
Tupper Lake,6120.0,55221.0,39.3,2,Entry
Monmouth,7444.5,49423.5,38.8,2,Entry
Chester,8098.5,81012.5,44.45,2,Entry
Wilsonville,21921.0,58662.0,36.5,2,Entry
Parkersburg,23504.0,40425.5,42.25,2,Entry
Tualatin,27625.0,63314.0,35.9,2,Entry
Chilton,8069.0,54664.0,42.6,2,Entry
Moab,9525.0,45975.0,39.3,2,Entry
Austintown,27381.0,42678.0,42.8,2,Entry
Chippewa Falls,31691.0,51886.0,40.1,2,Entry
Parkton,7052.0,118450.0,45.1,2,Entry
Clackamas,20872.0,58954.0,32.8,2,Entry
Mishawaka,24723.0,34995.0,36.0,2,Entry
Clarence,9911.0,68137.0,47.2,2,Entry
Wakefield,20675.0,75692.0,46.3,2,Entry
Campbell,45187.0,87204.0,37.3,2,Entry
Camp Hill,35184.0,63137.0,41.9,2,Entry
Bolton,4967.0,146029.0,43.1,2,Entry
Bloomsburg,31207.0,44521.0,32.1,2,Entry
West Plains,24256.0,34122.0,40.2,2,Entry
Ormond Beach,30338.5,45855.0,53.599999999999994,2,Entry
Bentonville,42380.0,63384.0,32.6,2,Entry
Bennington,14360.0,38259.0,41.4,2,Entry
Bluemont,2898.0,90083.0,42.9,2,Entry
Bluffton,35253.0,57665.0,34.9,2,Entry
Boca Raton,17719.0,66969.5,45.6,2,Entry
Wheaton,28660.0,84419.0,35.3,2,Entry
White Bear Lake,37810.0,68618.0,43.5,2,Entry
Camino,4942.0,68628.0,50.5,2,Entry
Bonner,1323.0,47237.0,49.2,2,Entry
Ossining,31502.0,74896.0,39.0,2,Entry
Nacogdoches,17366.5,32620.0,32.45,2,Entry
New Brighton,28313.5,53978.5,39.25,2,Entry
Oswego,37246.5,69761.5,35.2,2,Entry
Ottawa,24105.0,51685.0,43.0,2,Entry
Bossier City,35691.5,51158.0,34.0,2,Entry
Bourbonnais,28923.0,63264.0,33.5,2,Entry
Bowling Green,44094.5,37388.5,28.700000000000003,2,Entry
Wheat Ridge,24712.0,47841.0,43.0,2,Entry
West Reading,10845.0,40317.0,32.2,2,Entry
Westborough,18371.0,100905.0,40.4,2,Entry
Westbrook,17578.0,44465.0,39.2,2,Entry
Bethesda,32087.0,142435.0,42.05,2,Entry
Bettendorf,35289.0,70360.0,41.1,2,Entry
Beverly,40026.0,70563.0,39.8,2,Entry
Bernalillo,10351.0,41159.0,35.0,2,Entry
Big Bear Lake,5213.0,34088.0,42.9,2,Entry
Westmont,24496.0,61540.0,39.0,2,Entry
Big Rapids,20473.0,36331.0,24.4,2,Entry
Big Sky,1990.0,65794.0,33.2,2,Entry
Bigfork,7892.0,52850.0,51.5,2,Entry
Wexford,22369.0,120432.0,41.5,2,Entry
Binghamton,19186.0,41344.0,41.1,2,Entry
New Bedford,43308.0,34259.0,37.4,2,Entry
Bismarck,28410.0,52358.0,37.0,2,Entry
Black Diamond,4825.0,85398.0,42.7,2,Entry
Westerville,43339.0,89221.5,38.55,2,Entry
Black Mountain,12599.0,42271.0,44.4,2,Entry
Black River Falls,10665.0,43558.0,44.1,2,Entry
Orland Park,32840.5,83363.5,45.25,2,Entry
Nederland,3237.0,67647.0,40.6,2,Entry
Muscatine,30409.0,48980.0,38.4,2,Entry
West Bend,24474.0,61915.5,40.8,2,Entry
New Britain,30431.0,31626.0,31.5,2,Entry
Mountain View,20704.0,94838.5,35.95,2,Entry
Whitewater,19330.0,41859.0,23.6,2,Entry
Buckley,14051.0,70123.0,40.1,2,Entry
Mount Orab,9573.0,41921.0,35.9,2,Entry
Buellton,5370.0,66628.0,43.7,2,Entry
Mount Joy,19116.0,62131.0,40.1,2,Entry
Burdett,1836.0,45208.0,42.3,2,Entry
New Haven,53062.0,36275.0,28.6,2,Entry
Warsaw,9233.5,48534.0,39.1,2,Entry
Warrenville,13543.0,75988.0,37.1,2,Entry
Burton,8830.0,47127.0,41.45,2,Entry
Warrenton,15376.0,97183.5,41.599999999999994,2,Entry
Mount Holly,24648.0,77141.0,36.9,2,Entry
Cadiz,9595.0,42461.0,44.599999999999994,2,Entry
Wappingers Falls,34962.0,78573.0,41.1,2,Entry
Calistoga,7241.0,60754.0,44.7,2,Entry
Waltham,28997.0,67382.0,32.1,2,Entry
New Hope,14105.0,96685.0,49.6,2,Entry
Camas,28582.0,79486.0,38.5,2,Entry
Wallace,1899.0,41511.0,50.5,2,Entry
Bryson City,9011.0,43855.0,46.7,2,Entry
Watkins Glen,4473.0,44448.0,43.6,2,Entry
New Buffalo,3812.0,51496.0,49.8,2,Entry
Watsonville,82930.0,55208.0,32.1,2,Entry
Brandon,8204.5,61597.0,41.150000000000006,2,Entry
Wells,5713.0,54813.5,43.5,2,Entry
Munster,23445.0,72583.0,44.5,2,Entry
Whitefish,12567.0,46176.0,44.1,2,Entry
Brea,37254.0,78077.0,38.3,2,Entry
Breckenridge,9078.0,63895.0,34.1,2,Entry
Oneonta,22820.0,42345.0,26.8,2,Entry
Belfast,8807.0,33925.0,43.4,2,Entry
Bridgton,5227.0,41607.0,46.6,2,Entry
New Glarus,3830.0,71591.0,45.2,2,Entry
Muncie,15668.5,26068.5,37.7,2,Entry
Brockport,20706.0,54643.0,30.6,2,Entry
Owings,9556.0,114539.0,43.7,2,Entry
Mukilteo,20457.0,93717.0,42.4,2,Entry
Waxahachie,38526.0,59385.0,34.9,2,Entry
Mt Pleasant,49502.0,31645.0,22.9,2,Entry
Wauseon,13007.0,51935.0,38.6,2,Entry
Waukesha,30164.0,65354.5,36.849999999999994,2,Entry
Wauconda,16304.0,74427.0,36.8,2,Entry
Aston,21067.0,75373.0,38.5,2,Entry
Milton,18478.5,54449.5,42.349999999999994,2,Entry
Conway,3796.0,42500.0,44.599999999999994,2,Entry
East Lansing,49813.0,39692.0,23.8,2,Entry
Alpine,4447.0,49744.0,38.6,2,Entry
Alpharetta,25799.0,87514.0,37.0,2,Entry
North Conway,3964.0,42967.0,42.8,2,Entry
Maynard,10211.0,77622.0,41.7,2,Entry
Spring Hill,27486.5,52414.0,44.0,2,Entry
Spring Grove,11940.0,74256.5,42.5,2,Entry
Algonquin,32166.0,99655.0,39.6,2,Entry
Spring Branch,14615.0,75805.0,45.5,2,Entry
Edinburg,4299.5,45146.5,47.1,2,Entry
Norwood,26622.0,63074.5,37.05,2,Entry
Zanesville,55568.0,37061.0,40.6,2,Entry
Edmond,33589.0,68735.5,34.1,2,Entry
Spokane Valley,21515.0,48629.5,39.35,2,Entry
Pinehurst,16359.0,71980.0,59.6,2,Entry
Egg Harbor Township,42491.0,71316.0,39.3,2,Entry
Zelienople,6669.0,52337.0,48.0,2,Entry
Sperryville,1260.0,39950.0,45.6,2,Entry
Spencerport,18098.0,69564.0,41.7,2,Entry
Spartanburg,16173.0,26656.0,37.9,2,Entry
Mc Kees Rocks,21901.0,40034.0,42.4,2,Entry
East Haven,28922.0,65559.0,43.8,2,Entry
de Pere,41206.0,62172.0,34.7,2,Entry
Mc Lean,26258.0,146483.5,42.7,2,Entry
Downingtown,46691.0,91997.0,40.2,2,Entry
Doylestown,27725.0,84056.0,44.7,2,Entry
Stevens Point,29149.0,40627.0,27.6,2,Entry
Dublin,40850.0,100629.0,35.25,2,Entry
Dulles,9857.0,106797.0,33.7,2,Entry
Thornton,45830.0,58820.0,33.5,2,Entry
Wyoming,28019.0,44291.0,32.6,2,Entry
Dundalk,54523.0,48267.0,40.8,2,Entry
Dundee,4867.0,56909.0,39.0,2,Entry
State College,33357.0,45202.0,25.8,2,Entry
Amesbury,16429.0,78486.0,41.3,2,Entry
Stamford,37597.0,66204.5,34.900000000000006,2,Entry
Eagle River,17173.5,69953.5,41.2,2,Entry
